3140418, False, '2000', 'Illinois'
457822, False, '1985', 'Connecticut'
666434, False, '1994', 'Invalid entry'
666435, False, '1994', 'Invalid entry'
674190, False, '1994', 'Hawaii'
3140418, False, '2000', 'Illinois'
457822, False, '1985', 'Connecticut'
666434, False, '1994', 'Invalid entry'
666435, False, '1994', 'Invalid entry'
674190, False, '1994', 'Hawaii'
674192, True, '1994', 'Invalid entry'
151886, False, '2008', 'New York'
353069, False, '1977', 'New Jersey'
674191, False, '1994', 'Ohio'
764847, False, '1999', 'Colorado'
856770, False, '2013', 'California'
1000216, False, '1999', 'North Carolina'
1000241, False, '1999', 'Maryland'
1000242, False, '1999', 'Virginia'
1146529, False, '1971', 'North Carolina'
1146536, False, '2003', 'Florida'
1146532, False, '2003', 'Florida'
1146534, False, '2002', 'Louisiana'
1146539, False, '2003', 'Florida'
1146546, False, '1971', 'Washington'
21, False, '2010', 'Arizona'
22, False, '2010', 'Maine'
23, False, '2010', 'Maine'
24, False, '2010', 'Invalid entry'
25, False, '2010', 'Invalid entry'
26, False, '2010', 'Alaska'
27, True, '2010', 'Massachusetts'
28, False, '2010', 'Maine'
29, False, '2010', 'Colorado'
30, False, '2010', 'Massachusetts'
31, False, '2010', 'Massachusetts'
32, True, '2010', 'Maine'
33, False, '2010', 'Maryland'
34, False, '2010', 'Kansas'
35, False, '2010', 'Invalid entry'
36, False, '2010', 'Invalid entry'
37, False, '2010', 'New Jersey'
38, True, '2010', 'Arizona'
39, False, '2010', 'New York'
40, True, '2010', 'New York'
41, False, '2010', 'New York'
42, False, '2010', 'Delaware'
43, False, '2010', 'New York'
44, False, '2010', 'New York'
45, False, '2010', 'New York'
46, False, '2010', 'New York'
47, False, '2010', 'Maryland'
48, False, '2010', 'California'
49, False, '2005', 'Florida'
50, True, '2010', 'New York'
51, False, '2010', 'Iowa'
52, False, '2010', 'Colorado'
53, False, '2010', 'Washington'
54, True, '2010', 'New York'
55, False, '2010', 'California'
56, False, '2010', 'Alabama'
57, True, '2010', 'Ohio'
58, False, '2010', 'Florida'
59, False, '2010', 'New York'
60, False, '2010', 'Pennsylvania'
61, False, '2010', 'Connecticut'
62, False, '2010', 'Illinois'
63, False, '2010', 'Maryland'
64, False, '2009', 'Delaware'
65, False, '2009', 'California'
66, False, '2009', 'California'
67, False, '2010', 'New York'
68, False, '2010', 'Minnesota'
69, False, '2010', 'Maryland'
70, False, '2010', 'California'
71, False, '2010', 'Kentucky'
72, False, '2010', 'Arizona'
73, False, '2010', 'South Carolina'
74, False, '2010', 'North Carolina'
75, False, '2010', 'Maryland'
80, False, '2010', 'Arkansas'
81, False, '2010', 'South Dakota'
82, False, '2010', 'Invalid entry'
83, False, '2010', 'South Dakota'
84, False, '2010', 'Minnesota'
85, False, '2010', 'California'
86, False, '2010', 'Invalid entry'
87, False, '2010', 'Invalid entry'
88, True, '2010', 'Alabama'
89, False, '2010', 'California'
90, False, '2010', 'North Carolina'
91, False, '2010', 'Alaska'
92, False, '2010', 'Arizona'
93, False, '2010', 'Nevada'
94, False, '2010', 'California'
95, False, '2010', 'Utah'
96, False, '2010', 'Georgia'
97, False, '2010', 'Florida'
98, False, '2010', 'Alabama'
99, False, '2010', 'Florida'
100, False, '2010', 'Invalid entry'
101, False, '2010', 'Florida'
102, False, '2010', 'Florida'
103, True, '2010', 'Iowa'
104, False, '2010', 'Colorado'
105, False, '2010', 'Alabama'
106, False, '2010', 'New York'
107, False, '2010', 'New York'
108, False, '2010', 'New York'
109, False, '2010', 'New York'
110, False, '2009', 'Invalid entry'
111, False, '2010', 'California'
112, False, '2010', 'California'
113, False, '2010', 'Arizona'
114, False, '2010', 'California'
115, False, '2010', 'Virginia'
116, False, '2010', 'New Jersey'
117, False, '2010', 'Colorado'
118, False, '2010', 'Georgia'
119, False, '2010', 'Washington'
120, False, '2010', 'New Mexico'
121, True, '2010', 'New York'
122, False, '2010', 'Louisiana'
123, False, '2010', 'Maryland'
124, False, '2010', 'Invalid entry'
125, False, '2010', 'North Carolina'
126, False, '2010', 'Virginia'
127, False, '2010', 'North Carolina'
128, False, '2010', 'Maryland'
129, False, '2010', 'Invalid entry'
130, False, '2010', 'Alabama'
131, False, '2010', 'Ohio'
132, False, '2010', 'Kentucky'
133, True, '2010', 'Ohio'
134, False, '2010', 'Georgia'
135, False, '2010', 'Delaware'
136, False, '2010', 'Illinois'
137, False, '2010', 'California'
138, False, '2010', 'Arkansas'
139, True, '2010', 'Arkansas'
140, False, '2010', 'Arkansas'
141, False, '2010', 'Arizona'
142, False, '2010', 'Arkansas'
143, False, '2010', 'Arkansas'
144, False, '2010', 'Minnesota'
145, False, '2010', 'California'
146, False, '2010', 'California'
147, False, '2010', 'South Dakota'
148, False, '2010', 'Arkansas'
149, False, '2010', 'California'
150, False, '2010', 'Colorado'
151, False, '2010', 'Oklahoma'
152, False, '2010', 'Nebraska'
153, False, '2010', 'Florida'
154, False, '2010', 'Maryland'
155, False, '2010', 'Illinois'
156, False, '2010', 'Texas'
