State,District,Year,Party,Incumbent,Dem Votes,GOP Votes,Other Votes,Efficiency Gap
AK,1,1992,D,0,3019,3002,0,-0.4971765487460555
AK,2,1992,D,1,4704,2169,0,-0.13116542994325622
AK,3,1992,D,1,5210,2233,0,-0.10002687088539568
AK,4,1992,R,1,1754,4538,294,-0.057533375715193895
AK,5,1992,D,1,3953,0,1153,0.5
AK,6,1992,D,1,3802,0,0,0.5
AK,7,1992,R,1,2433,3078,482,-0.3829613500272183
AK,8,1992,R,0,2438,2634,524,-0.4613564668769716
AK,9,1992,D,1,2561,2343,672,-0.45554649265905384
AK,10,1992,R,0,2092,3607,899,-0.23416388840147395
AK,11,1992,D,0,2831,2810,262,-0.4962772558057082
AK,12,1992,R,1,0,4231,1500,0.5
AK,13,1992,R,0,3479,3601,0,-0.4827683615819209
AK,14,1992,R,1,2033,2928,0,-0.31959282402741385
AK,15,1992,D,1,3459,0,1156,0.5
AK,16,1992,D,1,2233,1248,0,-0.21703533467394426
AK,17,1992,R,0,1617,2242,1535,-0.33804094324954653
AK,18,1992,R,0,2811,3933,862,-0.33362989323843417
AK,19,1992,R,0,2513,2847,0,-0.4376865671641791
AK,20,1992,R,0,2807,3332,0,-0.4144811858608894
AK,21,1992,D,1,3427,2148,0,-0.2705829596412556
AK,22,1992,R,1,2082,4287,0,-0.1537918040508714
AK,23,1992,R,0,1076,1870,0,-0.23048200950441275
AK,24,1992,R,0,2585,3738,0,-0.3176498497548632
AK,25,1992,I,0,0,2790,3136,0.0
AK,26,1992,D,1,2877,2316,552,-0.39196995956094743
AK,27,1992,D,1,3219,2225,672,-0.31741366642174873
AK,28,1992,D,0,2875,2098,1077,-0.3437562839332395
AK,29,1992,D,0,3803,2469,501,-0.28730867346938777
AK,30,1992,D,0,2671,2169,591,-0.3962809917355372
AK,31,1992,D,0,2752,2630,0,-0.4773318468970643
AK,32,1992,R,0,1608,2317,389,-0.31936305732484077
AK,33,1992,R,0,2452,3550,543,-0.3170609796734422
AK,34,1992,R,0,2215,4010,0,-0.21164658634538153
AK,35,1992,R,0,1651,2167,1922,-0.36485070717653223
AK,36,1992,D,0,2756,2012,0,-0.34395973154362414
AK,37,1992,D,1,3738,0,0,0.5
AK,38,1992,D,1,4045,0,0,0.5
AK,39,1992,D,0,3579,0,0,0.5
AK,40,1992,I,0,1600,0,1829,0.0
AK,1,1994,D,1,2405,1791,1350,-0.3536701620591039
AK,2,1994,D,1,3789,0,2235,0.5
AK,3,1994,D,0,5186,2711,0,-0.18658984424464986
AK,4,1994,D,0,3940,3578,0,-0.4518488959829742
AK,5,1994,D,1,3722,0,0,0.5
AK,6,1994,R,0,1778,2027,0,-0.4345597897503285
AK,7,1994,R,1,2255,2778,670,-0.3960858334989072
AK,8,1994,R,1,1826,3017,366,-0.2540780507949618
AK,9,1994,D,1,2079,1965,465,-0.47181008902077154
AK,10,1994,R,1,0,4103,0,0.5
AK,11,1994,R,0,2344,2749,0,-0.42047908894561165
AK,12,1994,R,1,0,4289,0,0.5
AK,13,1994,R,1,2885,3222,0,-0.44481742262976914
AK,14,1994,R,1,1336,2235,0,-0.24824978997479696
AK,15,1994,D,1,2651,1527,0,-0.23097175682144566
AK,16,1994,D,1,1796,1137,0,-0.2753153767473577
AK,17,1994,R,1,1394,3312,0,-0.09243518912027199
AK,18,1994,R,1,2383,4447,0,-0.19780380673499268
AK,19,1994,R,1,2092,2328,564,-0.446606334841629
AK,20,1994,R,1,2223,2968,0,-0.35648237333847044
AK,21,1994,D,1,2589,1939,0,-0.35644876325088337
AK,22,1994,R,1,2235,2982,502,-0.3568142610695802
AK,23,1994,R,1,0,2009,0,0.5
AK,24,1994,R,1,1253,3751,0,-0.0007993605115907274
AK,25,1994,I,1,0,2576,2722,0.0
AK,26,1994,R,0,2442,3210,0,-0.3641188959660297
AK,27,1994,R,0,2901,3034,486,-0.4775905644481887
AK,28,1994,R,0,1676,2918,1803,-0.22964736612973444
AK,29,1994,D,1,3625,2430,0,-0.3026424442609414
AK,30,1994,D,1,2444,2050,0,-0.41232754784156656
AK,31,1994,R,0,1773,2269,500,-0.3772884710539337
AK,32,1994,R,1,1321,1714,0,-0.3705107084019769
AK,33,1994,R,1,0,3439,2447,0.5
AK,34,1994,R,1,1220,3196,0,-0.05253623188405797
AK,35,1994,D,0,2581,2179,0,-0.415546218487395
AK,36,1994,D,1,2765,0,1631,0.5
AK,37,1994,I,1,1165,0,3154,0.0
AK,38,1994,D,1,3624,0,0,0.5
AK,39,1994,D,0,3121,975,0,0.02392578125
AK,40,1994,D,1,2071,0,0,0.5
AK,1,1996,D,1,3272,3055,0,-0.46570254464991306
AK,2,1996,D,1,4246,2551,0,-0.25062527585699573
AK,3,1996,D,1,4732,2634,0,-0.21517784414879174
